customer_id,age,gender,city,state,city_tier,occupation,monthly_income,cricket_interest_score,favorite_ipl_team,favorite_player,Unnamed: 11,preferred_streaming_platform,fantasy_cricket_user,sports_equipment_spending_per_month_x,preferred_shopping_platform_x,cricket_search_frequency_per_month,device_type,digital_engagement_score,likely_to_buy_cricket_kit_x,engagement_id,favorite_match_type,average_match_watch_time_minutes,matches_watched_per_season,preferred_ad_format,ad_click_rate,sports_content_watch_hours_per_week,engagement_during_csk_matches,engagement_during_rcb_matches,engagement_during_mi_matches,streaming_device_preference,second_screen_usage,social_media_activity_during_matches,engagement_potential_score,social_id,preferred_social_media_platform,cricket_reels_watched_per_week,sports_content_likes_per_week,sports_content_shares_per_week,favorite_cricket_content_type,influencer_engagement_level,fantasy_cricket_content_interaction,average_daily_social_media_usage_hours,preferred_content_format,sports_brand_follow_count,social_media_ad_click_rate,purchase_id,preferred_shopping_platform_y,sports_equipment_spending_per_month_y,previous_cricket_gear_purchases,average_order_value,preferred_product_category,purchase_frequency_per_year,discount_sensitivity,cart_abandonment_rate,payment_method_preference,brand_loyalty_level,likely_to_buy_cricket_kit_y
CUST0011,29,Female,Kolkata,West Bengal,Tier 1,Working Professional,53000,5.9,Kolkata Knight Riders,Andre Russell,3,JioHotstar,No,1500,Flipkart,8,Laptop,58.1,No,ENG000011,Rivalry Match,175,58,Short Reel,0.27,16.3,87,91,85,Mobile,Yes,High,89.7,SOC000011,Instagram,40,82,23,Memes,High,Yes,5.5,Short Video,17,0.22,PUR000011,Amazon,2900,4,3900,Shoes,4,Medium,0.25,UPI,Medium,Yes
CUST0012,19,Male,Patna,Bihar,Tier 2,Student,11000,9.4,Mumbai Indians,Jasprit Bumrah,7,JioHotstar,Yes,2700,Amazon,31,Mobile,94.5,Yes,ENG000012,League Match,132,37,Video Ad,0.12,6.7,61,57,59,Smart TV,No,Medium,58.3,SOC000012,YouTube,24,39,9,Match Analysis,Medium,No,4.0,Long Video,10,0.1,PUR000012,Flipkart,1600,2,2100,Jerseys,2,High,0.46,Debit Card,Low,No
CUST0013,45,Male,Nagpur,Maharashtra,Tier 2,Business,125000,4.2,Chennai Super Kings,MS Dhoni,1,TV,No,800,Local Store,3,Smart TV,36.9,No,ENG000013,Playoffs,220,74,Influencer Promotion,0.33,22.5,96,94,92,Mobile,Yes,High,97.5,SOC000013,Instagram,57,121,38,Short Reels,High,Yes,7.4,Short Video,28,0.3,PUR000013,Brand Website,7100,10,9200,Full Kits,8,Low,0.08,Credit Card,High,Yes
CUST0014,26,Female,Surat,Gujarat,Tier 2,Working Professional,48000,7.1,Rajasthan Royals,Yashasvi Jaiswal,5,JioHotstar,Yes,2300,Flipkart,15,Mobile,74.2,Yes,ENG000014,League Match,104,29,Banner Ad,0.08,4.6,55,52,49,Laptop,No,Low,50.2,SOC000014,Twitter,14,25,5,Match Highlights,Medium,No,3.0,Carousel Post,6,0.08,PUR000014,Local Store,1000,1,1300,Accessories,1,Medium,0.31,Cash on Delivery,Low,No
CUST0015,22,Male,Kanpur,Uttar Pradesh,Tier 2,Student,15000,8.5,Lucknow Super Giants,Nicholas Pooran,6,JioHotstar,Yes,1800,Amazon,20,Mobile,82.3,Yes,ENG000015,Finals,231,78,Short Reel,0.35,25.3,99,97,95,Mobile,Yes,High,99.1,SOC000015,Instagram,53,113,35,Memes,High,Yes,7.0,Short Video,25,0.28,PUR000015,Amazon,4300,6,5600,Bats,5,Medium,0.22,UPI,Medium,Yes
CUST0016,36,Female,Bhopal,Madhya Pradesh,Tier 2,Coach,62000,6.3,Royal Challengers Bengaluru,Faf du Plessis,4,TV,No,2900,Brand Website,11,Laptop,59.8,No,ENG000016,Rivalry Match,184,62,Video Ad,0.19,11.2,84,89,83,Laptop,Yes,Medium,85.4,SOC000016,YouTube,29,48,13,Tutorials,Medium,Yes,4.5,Long Video,12,0.14,PUR000016,Brand Website,6400,9,8300,Full Kits,7,Low,0.11,Credit Card,High,Yes
CUST0017,28,Male,Chandigarh,Chandigarh,Tier 1,Working Professional,59000,7.8,Punjab Kings,Shikhar Dhawan,5,JioHotstar,Yes,2600,Amazon,19,Mobile,80.7,Yes,ENG000017,League Match,143,42,Influencer Promotion,0.15,8.8,66,68,63,Mobile,Yes,Medium,66.9,SOC000017,Instagram,38,76,21,Short Reels,Medium,Yes,5.2,Short Video,16,0.2,PUR000017,Flipkart,2100,3,2800,Gloves,3,High,0.41,Debit Card,Medium,No
CUST0018,41,Male,Visakhapatnam,Andhra Pradesh,Tier 2,Business,104000,5.1,Sunrisers Hyderabad,Heinrich Klaasen,2,TV,No,1600,Local Store,6,Smart TV,46.3,No,ENG000018,League Match,112,31,Banner Ad,0.09,5.1,57,55,53,Smart TV,No,Low,53.7,SOC000018,Facebook,12,20,4,Player Interviews,Low,No,2.4,Image Post,5,0.05,PUR000018,Amazon,3700,5,4900,Shoes,4,Medium,0.24,UPI,Medium,Yes
CUST0019,17,Male,Coimbatore,Tamil Nadu,Tier 2,Student,7000,8.8,Chennai Super Kings,MS Dhoni,7,JioHotstar,Yes,2100,Amazon,25,Mobile,89.7,Yes,ENG000019,Playoffs,214,71,Short Reel,0.3,20.2,93,95,91,Mobile,Yes,High,95.1,SOC000019,Instagram,50,105,33,Memes,High,Yes,6.8,Short Video,23,0.27,PUR000019,Local Store,1300,1,1600,Accessories,1,High,0.55,Cash on Delivery,Low,No
CUST0020,33,Female,Kochi,Kerala,Tier 2,Working Professional,68000,6.5,Mumbai Indians,Suryakumar Yadav,4,JioHotstar,No,1900,Flipkart,9,Laptop,63.4,No,ENG000020,League Match,95,24,Banner Ad,0.06,3.8,48,46,44,Laptop,No,Low,45.5,SOC000020,Twitter,11,19,3,Match Highlights,Low,No,2.5,Carousel Post,4,0.05,PUR000020,Brand Website,5600,8,7400,Full Kits,6,Low,0.1,Credit Card,High,Yes
CUST0021,24,Male,Noida,Uttar Pradesh,Tier 1,Athlete,32000,9.2,Royal Challengers Bengaluru,Virat Kohli,7,JioHotstar,Yes,5300,Brand Website,29,Mobile,93.8,Yes,ENG000021,Rivalry Match,178,57,Video Ad,0.21,12.4,86,88,84,Smart TV,Yes,Medium,86.2,SOC000021,Instagram,44,91,28,Short Reels,High,Yes,6.0,Short Video,20,0.24,PUR000021,Amazon,3100,4,4200,Bats,4,Medium,0.26,UPI,Medium,Yes
CUST0022,39,Female,Raipur,Chhattisgarh,Tier 2,Business,91000,4.9,Delhi Capitals,David Warner,2,TV,No,1200,Local Store,4,Smart TV,41.7,No,ENG000022,League Match,149,45,Influencer Promotion,0.17,9.6,70,72,68,Mobile,Yes,Medium,70.8,SOC000022,YouTube,27,45,11,Match Analysis,Medium,Yes,4.3,Long Video,12,0.13,PUR000022,Flipkart,1700,2,2300,Jerseys,2,High,0.47,Debit Card,Low,No
CUST0023,20,Male,Vadodara,Gujarat,Tier 2,Student,10000,8.4,Gujarat Titans,Rashid Khan,6,YouTube Highlights,Yes,1700,Amazon,21,Mobile,81.1,Yes,ENG000023,Finals,240,79,Short Reel,0.34,24.9,97,98,96,Mobile,Yes,High,98.7,SOC000023,Instagram,58,124,39,Memes,High,Yes,7.6,Short Video,29,0.3,PUR000023,Brand Website,6900,10,9100,Full Kits,8,Low,0.07,Credit Card,High,Yes
CUST0024,27,Male,Delhi,Delhi,Tier 1,Working Professional,61000,7.0,Kolkata Knight Riders,Rinku Singh,5,JioHotstar,Yes,2400,Amazon,14,Laptop,75.6,Yes,ENG000024,League Match,107,28,Banner Ad,0.08,4.2,54,50,51,Laptop,No,Low,49.6,SOC000024,Facebook,13,22,4,Player Interviews,Low,No,2.6,Image Post,5,0.05,PUR000024,Local Store,950,1,1200,Accessories,1,Medium,0.3,Cash on Delivery,Low,No
CUST0025,52,Male,Ludhiana,Punjab,Tier 2,Business,135000,3.8,Punjab Kings,Arshdeep Singh,1,TV,No,700,Local Store,2,Smart TV,33.5,No,ENG000025,Playoffs,206,68,Video Ad,0.26,17.5,89,91,87,Smart TV,Yes,High,91.3,SOC000025,Instagram,49,101,30,Short Reels,High,Yes,6.7,Short Video,22,0.26,PUR000025,Amazon,4200,6,5500,Shoes,5,Medium,0.2,UPI,Medium,Yes
CUST0026,30,Female,Thane,Maharashtra,Tier 1,Working Professional,58000,6.9,Mumbai Indians,Hardik Pandya,4,JioHotstar,No,2100,Flipkart,12,Mobile,67.8,No,ENG000026,Rivalry Match,189,63,Short Reel,0.29,18.8,91,94,89,Mobile,Yes,High,93.8,SOC000026,Twitter,20,31,8,Match Highlights,Medium,Yes,3.7,Carousel Post,8,0.1,PUR000026,Brand Website,6100,9,8000,Full Kits,7,Low,0.09,Credit Card,High,Yes
CUST0027,18,Male,Guwahati,Assam,Tier 2,Student,9000,9.3,Rajasthan Royals,Jos Buttler,7,JioHotstar,Yes,2500,Amazon,30,Mobile,95.1,Yes,ENG000027,League Match,138,40,Influencer Promotion,0.14,7.4,64,66,62,Laptop,No,Medium,63.5,SOC000027,YouTube,23,37,8,Tutorials,Medium,No,3.8,Long Video,9,0.1,PUR000027,Flipkart,2300,3,3000,Gloves,3,High,0.44,Debit Card,Medium,No
CUST0028,35,Male,Ranchi,Jharkhand,Tier 2,Coach,72000,7.4,Chennai Super Kings,MS Dhoni,5,TV,No,4500,Brand Website,13,Smart TV,66.9,Yes,ENG000028,League Match,101,27,Banner Ad,0.07,4.0,53,51,47,Smart TV,No,Low,48.7,SOC000028,Facebook,11,18,3,Player Interviews,Low,No,2.2,Image Post,4,0.04,PUR000028,Amazon,3400,5,4600,Bats,4,Medium,0.23,UPI,Medium,Yes
CUST0029,23,Female,Mysuru,Karnataka,Tier 2,Student,14000,7.7,Royal Challengers Bengaluru,Virat Kohli,6,JioHotstar,Yes,1600,Amazon,17,Mobile,78.6,Yes,ENG000029,Finals,228,75,Short Reel,0.33,23.1,95,97,94,Mobile,Yes,High,97.9,SOC000029,Instagram,56,117,37,Memes,High,Yes,7.3,Short Video,27,0.29,PUR000029,Local Store,1100,1,1400,Accessories,1,High,0.53,Cash on Delivery,Low,No
CUST0030,44,Male,Nashik,Maharashtra,Tier 2,Business,112000,5.6,Mumbai Indians,Rohit Sharma,3,TV,No,1400,Local Store,5,Smart TV,49.1,No,ENG000030,Rivalry Match,171,56,Video Ad,0.22,13.7,85,87,82,Laptop,Yes,Medium,84.6,SOC000030,Twitter,17,27,6,Match Analysis,Medium,Yes,3.5,Carousel Post,7,0.09,PUR000030,Brand Website,5700,8,7500,Full Kits,6,Low,0.08,Credit Card,High,Yes
CUST0031,26,Male,Hyderabad,Telangana,Tier 1,Working Professional,54000,8.0,Sunrisers Hyderabad,Travis Head,6,JioHotstar,Yes,3200,Amazon,22,Mobile,86.4,Yes,ENG000031,League Match,145,41,Influencer Promotion,0.16,8.9,68,65,66,Mobile,Yes,Medium,67.2,SOC000031,Instagram,43,89,25,Short Reels,High,Yes,5.9,Short Video,19,0.23,PUR000031,Amazon,3000,4,4000,Shoes,4,Medium,0.27,UPI,Medium,Yes
CUST0032,32,Female,Bhubaneswar,Odisha,Tier 2,Working Professional,49000,6.1,Kolkata Knight Riders,Sunil Narine,4,YouTube Highlights,No,1800,Flipkart,9,Laptop,57.2,No,ENG000032,League Match,109,30,Banner Ad,0.09,5.3,56,53,52,Smart TV,No,Low,52.9,SOC000032,YouTube,22,35,7,Tutorials,Medium,No,3.7,Long Video,8,0.09,PUR000032,Flipkart,1800,2,2200,Jerseys,2,High,0.45,Debit Card,Low,No
CUST0033,15,Male,Varanasi,Uttar Pradesh,Tier 3,Student,6000,8.9,Chennai Super Kings,Ruturaj Gaikwad,7,JioHotstar,Yes,1200,Amazon,24,Mobile,88.5,Yes,ENG000033,Playoffs,216,73,Short Reel,0.31,21.1,94,96,92,Mobile,Yes,High,96.0,SOC000033,Instagram,59,126,40,Memes,High,Yes,7.8,Short Video,30,0.3,PUR000033,Brand Website,7200,10,9400,Full Kits,8,Low,0.06,Credit Card,High,Yes
CUST0034,37,Male,Amritsar,Punjab,Tier 2,Business,88000,5.7,Punjab Kings,Liam Livingstone,3,TV,No,2100,Local Store,6,Smart TV,51.3,No,ENG000034,League Match,93,23,Banner Ad,0.05,3.4,46,45,43,Laptop,No,Low,44.1,SOC000034,Facebook,8,14,2,Player Interviews,Low,No,1.8,Image Post,3,0.03,PUR000034,Local Store,1050,1,1350,Accessories,1,Medium,0.32,Cash on Delivery,Low,No
CUST0035,29,Female,Mumbai,Maharashtra,Tier 1,Working Professional,79000,7.3,Mumbai Indians,Jasprit Bumrah,5,JioHotstar,Yes,2600,Amazon,18,Laptop,79.2,Yes,ENG000035,Finals,236,77,Short Reel,0.35,25.0,99,98,97,Mobile,Yes,High,99.4,SOC000035,Instagram,54,115,36,Short Reels,High,Yes,7.1,Short Video,26,0.29,PUR000035,Amazon,4400,6,5700,Bats,5,Medium,0.21,UPI,Medium,Yes
CUST0036,22,Male,Patiala,Punjab,Tier 2,Athlete,26000,9.0,Punjab Kings,Arshdeep Singh,6,JioHotstar,Yes,4800,Brand Website,27,Mobile,90.7,Yes,ENG000036,Rivalry Match,180,60,Video Ad,0.24,15.1,88,90,86,Smart TV,Yes,High,89.8,SOC000036,YouTube,30,51,14,Match Analysis,High,Yes,4.8,Long Video,13,0.15,PUR000036,Brand Website,6500,9,8400,Full Kits,7,Low,0.1,Credit Card,High,Yes
CUST0037,40,Female,Meerut,Uttar Pradesh,Tier 2,Coach,67000,6.0,Delhi Capitals,Rishabh Pant,4,TV,No,3100,Brand Website,10,Smart TV,55.8,No,ENG000037,League Match,136,38,Influencer Promotion,0.13,7.0,62,64,61,Laptop,No,Medium,61.7,SOC000037,Twitter,16,26,5,Match Highlights,Medium,No,3.2,Carousel Post,6,0.08,PUR000037,Flipkart,2200,3,2900,Gloves,3,High,0.42,Debit Card,Medium,No
CUST0038,19,Male,Agra,Uttar Pradesh,Tier 2,Student,9000,8.6,Rajasthan Royals,Yuzvendra Chahal,6,JioHotstar,Yes,1500,Amazon,23,Mobile,84.9,Yes,ENG000038,League Match,116,32,Banner Ad,0.1,5.7,58,56,54,Smart TV,No,Low,54.9,SOC000038,Facebook,14,23,5,Player Interviews,Low,No,2.7,Image Post,5,0.05,PUR000038,Amazon,3600,5,4800,Shoes,4,Medium,0.24,UPI,Medium,Yes
CUST0039,28,Male,Chennai,Tamil Nadu,Tier 1,Working Professional,63000,7.2,Chennai Super Kings,MS Dhoni,5,JioHotstar,Yes,2800,Flipkart,16,Mobile,77.1,Yes,ENG000039,Playoffs,209,70,Short Reel,0.28,19.4,92,94,90,Mobile,Yes,High,94.3,SOC000039,Instagram,52,111,34,Memes,High,Yes,6.9,Short Video,24,0.28,PUR000039,Local Store,1250,1,1550,Accessories,1,High,0.54,Cash on Delivery,Low,No
CUST0040,48,Female,Aurangabad,Maharashtra,Tier 2,Business,97000,4.4,Sunrisers Hyderabad,Pat Cummins,2,TV,No,1300,Local Store,4,Smart TV,39.4,No,ENG000040,League Match,99,25,Banner Ad,0.06,3.9,49,47,45,Laptop,No,Low,46.0,SOC000040,Twitter,10,17,3,Match Highlights,Low,No,2.3,Carousel Post,4,0.04,PUR000040,Brand Website,5500,8,7300,Full Kits,6,Low,0.09,Credit Card,High,Yes
CUST0041,21,Male,Siliguri,West Bengal,Tier 2,Student,11000,8.3,Kolkata Knight Riders,Shreyas Iyer,6,JioHotstar,Yes,1900,Amazon,19,Mobile,83.7,Yes,ENG000041,Rivalry Match,186,61,Video Ad,0.23,14.5,87,89,85,Smart TV,Yes,Medium,87.6,SOC000041,Instagram,45,94,29,Short Reels,High,Yes,6.2,Short Video,21,0.25,PUR000041,Amazon,3300,5,4400,Bats,4,Medium,0.25,UPI,Medium,Yes
CUST0042,34,Male,Bengaluru,Karnataka,Tier 1,Working Professional,85000,6.7,Royal Challengers Bengaluru,Virat Kohli,4,JioHotstar,No,2200,Brand Website,11,Laptop,69.5,No,ENG000042,League Match,141,43,Influencer Promotion,0.15,8.3,65,67,64,Mobile,Yes,Medium,65.8,SOC000042,YouTube,25,41,10,Tutorials,Medium,Yes,4.1,Long Video,11,0.12,PUR000042,Flipkart,1900,2,2400,Jerseys,2,High,0.49,Debit Card,Low,No
CUST0043,27,Female,Jaipur,Rajasthan,Tier 2,Working Professional,52000,7.6,Rajasthan Royals,Sanju Samson,5,JioHotstar,Yes,2400,Amazon,15,Mobile,78.9,Yes,ENG000043,Finals,233,76,Short Reel,0.34,24.4,98,97,95,Mobile,Yes,High,98.3,SOC000043,Instagram,57,122,38,Memes,High,Yes,7.5,Short Video,28,0.3,PUR000043,Brand Website,6800,10,9000,Full Kits,8,Low,0.07,Credit Card,High,Yes
CUST0044,31,Male,Dehradun,Uttarakhand,Tier 2,Coach,58000,6.4,Delhi Capitals,Axar Patel,4,TV,No,3500,Brand Website,10,Laptop,60.7,No,ENG000044,League Match,105,29,Banner Ad,0.08,4.5,55,52,50,Laptop,No,Low,50.6,SOC000044,Facebook,12,21,4,Player Interviews,Low,No,2.5,Image Post,5,0.05,PUR000044,Local Store,980,1,1250,Accessories,1,Medium,0.29,Cash on Delivery,Low,No
CUST0045,18,Male,Jamshedpur,Jharkhand,Tier 2,Student,8500,9.5,Mumbai Indians,Suryakumar Yadav,7,JioHotstar,Yes,2600,Amazon,32,Mobile,96.4,Yes,ENG000045,Playoffs,203,67,Video Ad,0.25,17.0,88,90,86,Smart TV,Yes,High,90.5,SOC000045,Instagram,50,106,32,Short Reels,High,Yes,6.8,Short Video,23,0.27,PUR000045,Amazon,4100,6,5400,Shoes,5,Medium,0.22,UPI,Medium,Yes
CUST0046,43,Female,Madurai,Tamil Nadu,Tier 2,Business,92000,5.0,Chennai Super Kings,Ravindra Jadeja,3,TV,No,1700,Local Store,5,Smart TV,45.2,No,ENG000046,Rivalry Match,192,65,Short Reel,0.3,19.9,93,95,91,Mobile,Yes,High,95.0,SOC000046,YouTube,28,47,12,Match Analysis,High,Yes,4.6,Long Video,12,0.14,PUR000046,Brand Website,6000,9,7900,Full Kits,7,Low,0.11,Credit Card,High,Yes
CUST0047,24,Male,Faridabad,Haryana,Tier 1,Working Professional,46000,8.2,Royal Challengers Bengaluru,Virat Kohli,6,JioHotstar,Yes,2900,Amazon,21,Mobile,85.5,Yes,ENG000047,League Match,139,39,Influencer Promotion,0.14,7.6,63,65,62,Laptop,No,Medium,62.8,SOC000047,Twitter,18,29,7,Match Highlights,Medium,No,3.4,Carousel Post,7,0.09,PUR000047,Flipkart,2400,3,3200,Gloves,3,High,0.43,Debit Card,Medium,No
CUST0048,38,Male,Vijayawada,Andhra Pradesh,Tier 2,Coach,74000,6.6,Sunrisers Hyderabad,Abhishek Sharma,4,TV,No,3900,Brand Website,12,Smart TV,61.9,No,ENG000048,League Match,111,31,Banner Ad,0.09,5.0,57,54,53,Smart TV,No,Low,53.4,SOC000048,Facebook,13,22,4,Player Interviews,Low,No,2.6,Image Post,5,0.05,PUR000048,Amazon,3500,5,4700,Bats,4,Medium,0.23,UPI,Medium,Yes
CUST0049,20,Female,Udaipur,Rajasthan,Tier 2,Student,9500,8.7,Rajasthan Royals,Yashasvi Jaiswal,7,JioHotstar,Yes,1800,Flipkart,25,Mobile,87.1,Yes,ENG000049,Finals,226,74,Short Reel,0.32,22.8,95,96,94,Mobile,Yes,High,97.1,SOC000049,Instagram,55,119,37,Memes,High,Yes,7.3,Short Video,27,0.29,PUR000049,Local Store,1150,1,1450,Accessories,1,High,0.51,Cash on Delivery,Low,No
CUST0050,46,Male,Kolhapur,Maharashtra,Tier 2,Business,108000,4.7,Mumbai Indians,Rohit Sharma,2,TV,No,1500,Local Store,4,Smart TV,42.6,No,ENG000050,Rivalry Match,174,57,Video Ad,0.2,12.9,84,86,83,Laptop,Yes,Medium,83.9,SOC000050,Twitter,17,28,6,Match Analysis,Medium,Yes,3.6,Carousel Post,7,0.09,PUR000050,Brand Website,5800,8,7600,Full Kits,6,Low,0.08,Credit Card,High,Yes
CUST0051,25,Male,Ahmednagar,Maharashtra,Tier 2,Working Professional,42000,7.9,Chennai Super Kings,Ruturaj Gaikwad,5,JioHotstar,Yes,2400,Amazon,18,Mobile,81.2,Yes,ENG000051,League Match,147,44,Influencer Promotion,0.16,9.2,69,70,67,Mobile,Yes,Medium,69.4,SOC000051,Instagram,42,87,24,Short Reels,High,Yes,5.7,Short Video,18,0.23,PUR000051,Amazon,3200,5,4300,Shoes,4,Medium,0.26,UPI,Medium,Yes
CUST0052,33,Female,Delhi,Delhi,Tier 1,Working Professional,76000,6.4,Delhi Capitals,Rishabh Pant,4,TV,No,1900,Flipkart,11,Laptop,66.1,No,ENG000052,League Match,114,33,Banner Ad,0.1,5.6,58,55,54,Smart TV,No,Low,55.1,SOC000052,YouTube,24,38,8,Tutorials,Medium,No,3.9,Long Video,9,0.1,PUR000052,Flipkart,1750,2,2250,Jerseys,2,High,0.47,Debit Card,Low,No
CUST0053,19,Male,Gwalior,Madhya Pradesh,Tier 2,Student,9500,9.2,Royal Challengers Bengaluru,Virat Kohli,7,JioHotstar,Yes,2800,Amazon,29,Mobile,93.6,Yes,ENG000053,Playoffs,218,72,Short Reel,0.31,20.8,94,95,93,Mobile,Yes,High,96.2,SOC000053,Instagram,58,123,39,Memes,High,Yes,7.6,Short Video,29,0.3,PUR000053,Brand Website,7300,10,9500,Full Kits,8,Low,0.06,Credit Card,High,Yes
CUST0054,41,Male,Kota,Rajasthan,Tier 2,Business,98000,5.1,Rajasthan Royals,Jos Buttler,3,TV,No,1600,Local Store,5,Smart TV,47.8,No,ENG000054,League Match,96,24,Banner Ad,0.06,3.5,47,46,44,Laptop,No,Low,44.9,SOC000054,Facebook,9,15,2,Player Interviews,Low,No,1.9,Image Post,3,0.03,PUR000054,Local Store,1020,1,1320,Accessories,1,Medium,0.33,Cash on Delivery,Low,No
