social_id,customer_id,preferred_social_media_platform,cricket_reels_watched_per_week,sports_content_likes_per_week,sports_content_shares_per_week,favorite_cricket_content_type,influencer_engagement_level,fantasy_cricket_content_interaction,average_daily_social_media_usage_hours,preferred_content_format,sports_brand_follow_count,social_media_ad_click_rate
SOC000069,CUST0069,Instagram,52,110,34,Memes,High,Yes,7.0,Short Video,24,0.28
SOC000070,CUST0070,Twitter,12,19,3,Match Highlights,Low,No,2.5,Carousel Post,4,0.05
SOC000071,CUST0071,Instagram,41,84,23,Short Reels,High,Yes,5.6,Short Video,17,0.22
SOC000072,CUST0072,YouTube,23,36,8,Tutorials,Medium,No,3.8,Long Video,9,0.10
SOC000073,CUST0073,Instagram,57,121,38,Memes,High,Yes,7.4,Short Video,28,0.30
SOC000074,CUST0074,Facebook,9,16,2,Player Interviews,Low,No,2.0,Image Post,3,0.03
SOC000075,CUST0075,Instagram,55,118,37,Short Reels,High,Yes,7.2,Short Video,27,0.29
SOC000076,CUST0076,YouTube,28,46,12,Match Analysis,High,Yes,4.6,Long Video,12,0.14
SOC000077,CUST0077,Twitter,17,27,6,Match Highlights,Medium,No,3.3,Carousel Post,7,0.09
SOC000078,CUST0078,Facebook,12,20,4,Player Interviews,Low,No,2.4,Image Post,4,0.04
SOC000079,CUST0079,Instagram,50,104,32,Memes,High,Yes,6.8,Short Video,23,0.27
SOC000080,CUST0080,Twitter,10,17,3,Match Highlights,Low,No,2.3,Carousel Post,4,0.04
SOC000081,CUST0081,Instagram,46,97,29,Short Reels,High,Yes,6.3,Short Video,21,0.25
SOC000082,CUST0082,YouTube,27,44,11,Tutorials,Medium,Yes,4.3,Long Video,11,0.13
SOC000083,CUST0083,Instagram,58,124,39,Memes,High,Yes,7.7,Short Video,29,0.30
SOC000084,CUST0084,Facebook,11,18,3,Player Interviews,Low,No,2.2,Image Post,4,0.04
SOC000085,CUST0085,Instagram,49,102,31,Short Reels,High,Yes,6.7,Short Video,22,0.26
SOC000086,CUST0086,YouTube,30,50,13,Match Analysis,High,Yes,4.8,Long Video,13,0.15
SOC000087,CUST0087,Twitter,15,23,5,Match Highlights,Medium,No,3.0,Carousel Post,6,0.08
SOC000088,CUST0088,Facebook,13,22,4,Player Interviews,Low,No,2.6,Image Post,5,0.05
SOC000089,CUST0089,Instagram,56,120,38,Memes,High,Yes,7.5,Short Video,28,0.30
SOC000090,CUST0090,Twitter,16,26,6,Match Analysis,Medium,Yes,3.5,Carousel Post,7,0.09
SOC000091,CUST0091,Instagram,43,90,26,Short Reels,High,Yes,5.9,Short Video,19,0.23
SOC000092,CUST0092,YouTube,22,35,7,Tutorials,Medium,No,3.7,Long Video,8,0.09
SOC000093,CUST0093,Instagram,59,126,40,Memes,High,Yes,7.8,Short Video,30,0.30
SOC000094,CUST0094,Facebook,8,14,2,Player Interviews,Low,No,1.8,Image Post,3,0.03
SOC000095,CUST0095,Instagram,54,117,36,Short Reels,High,Yes,7.1,Short Video,26,0.29
SOC000096,CUST0096,YouTube,31,53,14,Match Analysis,High,Yes,4.9,Long Video,14,0.15
SOC000097,CUST0097,Twitter,17,28,6,Match Highlights,Medium,No,3.4,Carousel Post,7,0.09
SOC000098,CUST0098,Facebook,14,23,5,Player Interviews,Low,No,2.7,Image Post,5,0.05
SOC000099,CUST0099,Instagram,52,112,34,Memes,High,Yes,7.0,Short Video,25,0.28
SOC000100,CUST0100,Twitter,11,18,3,Match Highlights,Low,No,2.4,Carousel Post,4,0.05
SOC000101,CUST0101,Instagram,45,95,28,Short Reels,High,Yes,6.1,Short Video,20,0.24
SOC000102,CUST0102,YouTube,25,42,10,Tutorials,Medium,Yes,4.1,Long Video,10,0.12
SOC000103,CUST0103,Instagram,57,122,39,Memes,High,Yes,7.5,Short Video,28,0.30
SOC000104,CUST0104,Facebook,12,21,4,Player Interviews,Low,No,2.5,Image Post,5,0.05
SOC000105,CUST0105,Instagram,50,107,33,Short Reels,High,Yes,6.8,Short Video,23,0.27
SOC000106,CUST0106,YouTube,29,48,12,Match Analysis,High,Yes,4.7,Long Video,13,0.14
SOC000107,CUST0107,Twitter,18,29,7,Match Highlights,Medium,No,3.5,Carousel Post,7,0.09
SOC000108,CUST0108,Facebook,13,22,4,Player Interviews,Low,No,2.6,Image Post,5,0.05
SOC000109,CUST0109,Instagram,55,119,37,Memes,High,Yes,7.3,Short Video,27,0.29
SOC000110,CUST0110,Twitter,17,27,6,Match Analysis,Medium,Yes,3.6,Carousel Post,7,0.09
SOC000111,CUST0111,Instagram,42,86,24,Short Reels,High,Yes,5.7,Short Video,18,0.22
SOC000112,CUST0112,YouTube,24,39,8,Tutorials,Medium,No,3.9,Long Video,9,0.10
SOC000113,CUST0113,Instagram,58,123,39,Memes,High,Yes,7.6,Short Video,29,0.30
SOC000114,CUST0114,Facebook,9,15,2,Player Interviews,Low,No,1.9,Image Post,3,0.03
SOC000115,CUST0115,Instagram,53,115,35,Short Reels,High,Yes,7.0,Short Video,25,0.28
SOC000116,CUST0116,YouTube,30,51,13,Match Analysis,High,Yes,4.8,Long Video,13,0.15
SOC000117,CUST0117,Twitter,15,24,5,Match Highlights,Medium,No,3.1,Carousel Post,6,0.08
SOC000118,CUST0118,Facebook,14,24,5,Player Interviews,Low,No,2.8,Image Post,5,0.05
SOC000119,CUST0119,Instagram,51,109,33,Memes,High,Yes,6.9,Short Video,24,0.27
SOC000120,CUST0120,Twitter,12,19,3,Match Highlights,Low,No,2.5,Carousel Post,4,0.05
SOC000121,CUST0121,Instagram,44,91,27,Short Reels,High,Yes,6.0,Short Video,20,0.24
SOC000122,CUST0122,YouTube,26,43,10,Tutorials,Medium,Yes,4.2,Long Video,11,0.12
SOC000123,CUST0123,Instagram,59,125,40,Memes,High,Yes,7.8,Short Video,30,0.30
SOC000124,CUST0124,Facebook,10,17,3,Player Interviews,Low,No,2.0,Image Post,4,0.04
SOC000125,CUST0125,Instagram,54,116,36,Short Reels,High,Yes,7.2,Short Video,26,0.29
SOC000126,CUST0126,YouTube,31,52,14,Match Analysis,High,Yes,4.9,Long Video,14,0.15
SOC000127,CUST0127,Twitter,16,25,5,Match Highlights,Medium,No,3.2,Carousel Post,6,0.08
SOC000128,CUST0128,Facebook,13,21,4,Player Interviews,Low,No,2.5,Image Post,5,0.05
SOC000129,CUST0129,Instagram,52,110,34,Memes,High,Yes,7.0,Short Video,24,0.28
SOC000130,CUST0130,Twitter,11,18,3,Match Highlights,Low,No,2.4,Carousel Post,4,0.05
SOC000131,CUST0131,Instagram,41,84,23,Short Reels,High,Yes,5.6,Short Video,17,0.22
SOC000132,CUST0132,YouTube,23,36,8,Tutorials,Medium,No,3.8,Long Video,9,0.10
SOC000133,CUST0133,Instagram,57,121,38,Memes,High,Yes,7.4,Short Video,28,0.30
SOC000134,CUST0134,Facebook,9,16,2,Player Interviews,Low,No,2.0,Image Post,3,0.03
SOC000135,CUST0135,Instagram,55,118,37,Short Reels,High,Yes,7.2,Short Video,27,0.29
SOC000136,CUST0136,YouTube,28,46,12,Match Analysis,High,Yes,4.6,Long Video,12,0.14
SOC000137,CUST0137,Twitter,17,27,6,Match Highlights,Medium,No,3.3,Carousel Post,7,0.09
SOC000138,CUST0138,Facebook,12,20,4,Player Interviews,Low,No,2.4,Image Post,4,0.04
SOC000139,CUST0139,Instagram,50,104,32,Memes,High,Yes,6.8,Short Video,23,0.27
SOC000140,CUST0140,Twitter,10,17,3,Match Highlights,Low,No,2.3,Carousel Post,4,0.04
SOC000141,CUST0141,Instagram,46,97,29,Short Reels,High,Yes,6.3,Short Video,21,0.25
SOC000142,CUST0142,YouTube,27,44,11,Tutorials,Medium,Yes,4.3,Long Video,11,0.13
SOC000143,CUST0143,Instagram,58,124,39,Memes,High,Yes,7.7,Short Video,29,0.30
SOC000144,CUST0144,Facebook,11,18,3,Player Interviews,Low,No,2.2,Image Post,4,0.04
SOC000145,CUST0145,Instagram,49,102,31,Short Reels,High,Yes,6.7,Short Video,22,0.26
SOC000146,CUST0146,YouTube,30,50,13,Match Analysis,High,Yes,4.8,Long Video,13,0.15
SOC000147,CUST0147,Twitter,15,23,5,Match Highlights,Medium,No,3.0,Carousel Post,6,0.08
SOC000148,CUST0148,Facebook,13,22,4,Player Interviews,Low,No,2.6,Image Post,5,0.05
SOC000149,CUST0149,Instagram,56,120,38,Memes,High,Yes,7.5,Short Video,28,0.30
SOC000150,CUST0150,Twitter,16,26,6,Match Analysis,Medium,Yes,3.5,Carousel Post,7,0.09
SOC000151,CUST0151,Instagram,43,90,26,Short Reels,High,Yes,5.9,Short Video,19,0.23
SOC000152,CUST0152,YouTube,22,35,7,Tutorials,Medium,No,3.7,Long Video,8,0.09
SOC000153,CUST0153,Instagram,59,126,40,Memes,High,Yes,7.8,Short Video,30,0.30
SOC000154,CUST0154,Facebook,8,14,2,Player Interviews,Low,No,1.8,Image Post,3,0.03
SOC000155,CUST0155,Instagram,54,117,36,Short Reels,High,Yes,7.1,Short Video,26,0.29
SOC000156,CUST0156,YouTube,31,53,14,Match Analysis,High,Yes,4.9,Long Video,14,0.15
SOC000157,CUST0157,Twitter,17,28,6,Match Highlights,Medium,No,3.4,Carousel Post,7,0.09
SOC000158,CUST0158,Facebook,14,23,5,Player Interviews,Low,No,2.7,Image Post,5,0.05
SOC000159,CUST0159,Instagram,52,112,34,Memes,High,Yes,7.0,Short Video,25,0.28
SOC000160,CUST0160,Twitter,11,18,3,Match Highlights,Low,No,2.4,Carousel Post,4,0.05
SOC000161,CUST0161,Instagram,45,95,28,Short Reels,High,Yes,6.1,Short Video,20,0.24
SOC000162,CUST0162,YouTube,25,42,10,Tutorials,Medium,Yes,4.1,Long Video,10,0.12
SOC000163,CUST0163,Instagram,57,122,39,Memes,High,Yes,7.5,Short Video,28,0.30
SOC000164,CUST0164,Facebook,12,21,4,Player Interviews,Low,No,2.5,Image Post,5,0.05
SOC000165,CUST0165,Instagram,50,107,33,Short Reels,High,Yes,6.8,Short Video,23,0.27
SOC000166,CUST0166,YouTube,29,48,12,Match Analysis,High,Yes,4.7,Long Video,13,0.14
SOC000167,CUST0167,Twitter,18,29,7,Match Highlights,Medium,No,3.5,Carousel Post,7,0.09
SOC000168,CUST0168,Facebook,13,22,4,Player Interviews,Low,No,2.6,Image Post,5,0.05
SOC000169,CUST0169,Instagram,55,119,37,Memes,High,Yes,7.3,Short Video,27,0.29
SOC000170,CUST0170,Twitter,17,27,6,Match Analysis,Medium,Yes,3.6,Carousel Post,7,0.09
SOC000171,CUST0171,Instagram,42,86,24,Short Reels,High,Yes,5.7,Short Video,18,0.22
SOC000172,CUST0172,YouTube,24,39,8,Tutorials,Medium,No,3.9,Long Video,9,0.10
SOC000173,CUST0173,Instagram,58,123,39,Memes,High,Yes,7.6,Short Video,29,0.30
SOC000174,CUST0174,Facebook,9,15,2,Player Interviews,Low,No,1.9,Image Post,3,0.03
SOC000175,CUST0175,Instagram,53,115,35,Short Reels,High,Yes,7.0,Short Video,25,0.28
SOC000176,CUST0176,YouTube,30,51,13,Match Analysis,High,Yes,4.8,Long Video,13,0.15
SOC000177,CUST0177,Twitter,15,24,5,Match Highlights,Medium,No,3.1,Carousel Post,6,0.08
SOC000178,CUST0178,Facebook,14,24,5,Player Interviews,Low,No,2.8,Image Post,5,0.05
SOC000179,CUST0179,Instagram,51,109,33,Memes,High,Yes,6.9,Short Video,24,0.27
SOC000180,CUST0180,Twitter,12,19,3,Match Highlights,Low,No,2.5,Carousel Post,4,0.05
SOC000181,CUST0181,Instagram,44,91,27,Short Reels,High,Yes,6.0,Short Video,20,0.24
SOC000182,CUST0182,YouTube,26,43,10,Tutorials,Medium,Yes,4.2,Long Video,11,0.12
SOC000183,CUST0183,Instagram,59,125,40,Memes,High,Yes,7.8,Short Video,30,0.30
SOC000184,CUST0184,Facebook,10,17,3,Player Interviews,Low,No,2.0,Image Post,4,0.04
SOC000185,CUST0185,Instagram,54,116,36,Short Reels,High,Yes,7.2,Short Video,26,0.29
SOC000186,CUST0186,YouTube,31,52,14,Match Analysis,High,Yes,4.9,Long Video,14,0.15
SOC000187,CUST0187,Twitter,16,25,5,Match Highlights,Medium,No,3.2,Carousel Post,6,0.08
SOC000188,CUST0188,Facebook,13,21,4,Player Interviews,Low,No,2.5,Image Post,5,0.05
SOC000189,CUST0189,Instagram,52,110,34,Memes,High,Yes,7.0,Short Video,24,0.28
SOC000190,CUST0190,Twitter,11,18,3,Match Highlights,Low,No,2.4,Carousel Post,4,0.05
SOC000191,CUST0191,Instagram,41,84,23,Short Reels,High,Yes,5.6,Short Video,17,0.22
SOC000192,CUST0192,YouTube,23,36,8,Tutorials,Medium,No,3.8,Long Video,9,0.10
SOC000193,CUST0193,Instagram,57,121,38,Memes,High,Yes,7.4,Short Video,28,0.30
SOC000194,CUST0194,Facebook,9,16,2,Player Interviews,Low,No,2.0,Image Post,3,0.03
SOC000195,CUST0195,Instagram,55,118,37,Short Reels,High,Yes,7.2,Short Video,27,0.29
SOC000196,CUST0196,YouTube,28,46,12,Match Analysis,High,Yes,4.6,Long Video,12,0.14
SOC000197,CUST0197,Twitter,17,27,6,Match Highlights,Medium,No,3.3,Carousel Post,7,0.09
SOC000198,CUST0198,Facebook,12,20,4,Player Interviews,Low,No,2.4,Image Post,4,0.04
SOC000199,CUST0199,Instagram,50,104,32,Memes,High,Yes,6.8,Short Video,23,0.27
SOC000200,CUST0200,Twitter,10,17,3,Match Highlights,Low,No,2.3,Carousel Post,4,0.04
SOC000201,CUST0201,Instagram,46,97,29,Short Reels,High,Yes,6.3,Short Video,21,0.25
SOC000202,CUST0202,YouTube,27,44,11,Tutorials,Medium,Yes,4.3,Long Video,11,0.13
SOC000203,CUST0203,Instagram,58,124,39,Memes,High,Yes,7.7,Short Video,29,0.30
SOC000204,CUST0204,Facebook,11,18,3,Player Interviews,Low,No,2.2,Image Post,4,0.04
SOC000205,CUST0205,Instagram,49,102,31,Short Reels,High,Yes,6.7,Short Video,22,0.26
SOC000206,CUST0206,YouTube,30,50,13,Match Analysis,High,Yes,4.8,Long Video,13,0.15
SOC000207,CUST0207,Twitter,15,23,5,Match Highlights,Medium,No,3.0,Carousel Post,6,0.08
SOC000208,CUST0208,Facebook,13,22,4,Player Interviews,Low,No,2.6,Image Post,5,0.05
SOC000209,CUST0209,Instagram,56,120,38,Memes,High,Yes,7.5,Short Video,28,0.30
SOC000210,CUST0210,Twitter,16,26,6,Match Analysis,Medium,Yes,3.5,Carousel Post,7,0.09
SOC000211,CUST0211,Instagram,43,90,26,Short Reels,High,Yes,5.9,Short Video,19,0.23
SOC000212,CUST0212,YouTube,22,35,7,Tutorials,Medium,No,3.7,Long Video,8,0.09
SOC000213,CUST0213,Instagram,59,126,40,Memes,High,Yes,7.8,Short Video,30,0.30
SOC000214,CUST0214,Facebook,8,14,2,Player Interviews,Low,No,1.8,Image Post,3,0.03
SOC000215,CUST0215,Instagram,54,117,36,Short Reels,High,Yes,7.1,Short Video,26,0.29
SOC000216,CUST0216,YouTube,31,53,14,Match Analysis,High,Yes,4.9,Long Video,14,0.15
SOC000217,CUST0217,Twitter,17,28,6,Match Highlights,Medium,No,3.4,Carousel Post,7,0.09
SOC000218,CUST0218,Facebook,14,23,5,Player Interviews,Low,No,2.7,Image Post,5,0.05
SOC000219,CUST0219,Instagram,52,112,34,Memes,High,Yes,7.0,Short Video,25,0.28
SOC000220,CUST0220,Twitter,11,18,3,Match Highlights,Low,No,2.4,Carousel Post,4,0.05
SOC000221,CUST0221,Instagram,45,95,28,Short Reels,High,Yes,6.1,Short Video,20,0.24
SOC000222,CUST0222,YouTube,25,42,10,Tutorials,Medium,Yes,4.1,Long Video,10,0.12
SOC000223,CUST0223,Instagram,57,122,39,Memes,High,Yes,7.5,Short Video,28,0.30
SOC000224,CUST0224,Facebook,12,21,4,Player Interviews,Low,No,2.5,Image Post,5,0.05
SOC000225,CUST0225,Instagram,50,107,33,Short Reels,High,Yes,6.8,Short Video,23,0.27
SOC000226,CUST0226,YouTube,29,48,12,Match Analysis,High,Yes,4.7,Long Video,13,0.14
SOC000227,CUST0227,Twitter,18,29,7,Match Highlights,Medium,No,3.5,Carousel Post,7,0.09
SOC000228,CUST0228,Facebook,13,22,4,Player Interviews,Low,No,2.6,Image Post,5,0.05
SOC000229,CUST0229,Instagram,55,119,37,Memes,High,Yes,7.3,Short Video,27,0.29
SOC000230,CUST0230,Twitter,17,27,6,Match Analysis,Medium,Yes,3.6,Carousel Post,7,0.09
SOC000231,CUST0231,Instagram,42,86,24,Short Reels,High,Yes,5.7,Short Video,18,0.22
SOC000232,CUST0232,YouTube,24,39,8,Tutorials,Medium,No,3.9,Long Video,9,0.10
SOC000233,CUST0233,Instagram,58,123,39,Memes,High,Yes,7.6,Short Video,29,0.30
SOC000234,CUST0234,Facebook,9,15,2,Player Interviews,Low,No,1.9,Image Post,3,0.03
SOC000235,CUST0235,Instagram,53,115,35,Short Reels,High,Yes,7.0,Short Video,25,0.28
SOC000236,CUST0236,YouTube,30,51,13,Match Analysis,High,Yes,4.8,Long Video,13,0.15
SOC000237,CUST0237,Twitter,15,24,5,Match Highlights,Medium,No,3.1,Carousel Post,6,0.08
SOC000238,CUST0238,Facebook,14,24,5,Player Interviews,Low,No,2.8,Image Post,5,0.05
SOC000239,CUST0239,Instagram,51,109,33,Memes,High,Yes,6.9,Short Video,24,0.27
SOC000240,CUST0240,Twitter,12,19,3,Match Highlights,Low,No,2.5,Carousel Post,4,0.05
SOC000241,CUST0241,Instagram,44,91,27,Short Reels,High,Yes,6.0,Short Video,20,0.24
SOC000242,CUST0242,YouTube,26,43,10,Tutorials,Medium,Yes,4.2,Long Video,11,0.12
SOC000243,CUST0243,Instagram,59,125,40,Memes,High,Yes,7.8,Short Video,30,0.30
SOC000244,CUST0244,Facebook,10,17,3,Player Interviews,Low,No,2.0,Image Post,4,0.04
SOC000245,CUST0245,Instagram,54,116,36,Short Reels,High,Yes,7.2,Short Video,26,0.29
SOC000246,CUST0246,YouTube,31,52,14,Match Analysis,High,Yes,4.9,Long Video,14,0.15
SOC000247,CUST0247,Twitter,16,25,5,Match Highlights,Medium,No,3.2,Carousel Post,6,0.08
SOC000248,CUST0248,Facebook,13,21,4,Player Interviews,Low,No,2.5,Image Post,5,0.05
SOC000249,CUST0249,Instagram,52,110,34,Memes,High,Yes,7.0,Short Video,24,0.28
SOC000250,CUST0250,Twitter,11,18,3,Match Highlights,Low,No,2.4,Carousel Post,4,0.05
SOC000251,CUST0251,Instagram,41,84,23,Short Reels,High,Yes,5.6,Short Video,17,0.22
SOC000252,CUST0252,YouTube,23,36,8,Tutorials,Medium,No,3.8,Long Video,9,0.10
SOC000253,CUST0253,Instagram,57,121,38,Memes,High,Yes,7.4,Short Video,28,0.30
SOC000254,CUST0254,Facebook,9,16,2,Player Interviews,Low,No,2.0,Image Post,3,0.03
SOC000255,CUST0255,Instagram,55,118,37,Short Reels,High,Yes,7.2,Short Video,27,0.29
SOC000256,CUST0256,YouTube,28,46,12,Match Analysis,High,Yes,4.6,Long Video,12,0.14
SOC000257,CUST0257,Twitter,17,27,6,Match Highlights,Medium,No,3.3,Carousel Post,7,0.09
SOC000258,CUST0258,Facebook,12,20,4,Player Interviews,Low,No,2.4,Image Post,4,0.04
SOC000259,CUST0259,Instagram,50,104,32,Memes,High,Yes,6.8,Short Video,23,0.27
SOC000260,CUST0260,Twitter,10,17,3,Match Highlights,Low,No,2.3,Carousel Post,4,0.04
SOC000261,CUST0261,Instagram,46,97,29,Short Reels,High,Yes,6.3,Short Video,21,0.25
SOC000262,CUST0262,YouTube,27,44,11,Tutorials,Medium,Yes,4.3,Long Video,11,0.13
SOC000263,CUST0263,Instagram,58,124,39,Memes,High,Yes,7.7,Short Video,29,0.30
SOC000264,CUST0264,Facebook,11,18,3,Player Interviews,Low,No,2.2,Image Post,4,0.04
SOC000265,CUST0265,Instagram,49,102,31,Short Reels,High,Yes,6.7,Short Video,22,0.26
SOC000266,CUST0266,YouTube,30,50,13,Match Analysis,High,Yes,4.8,Long Video,13,0.15
SOC000267,CUST0267,Twitter,15,23,5,Match Highlights,Medium,No,3.0,Carousel Post,6,0.08
SOC000268,CUST0268,Facebook,13,22,4,Player Interviews,Low,No,2.6,Image Post,5,0.05
SOC000269,CUST0269,Instagram,56,120,38,Memes,High,Yes,7.5,Short Video,28,0.30
SOC000270,CUST0270,Twitter,16,26,6,Match Analysis,Medium,Yes,3.5,Carousel Post,7,0.09
SOC000271,CUST0271,Instagram,43,90,26,Short Reels,High,Yes,5.9,Short Video,19,0.23
SOC000272,CUST0272,YouTube,22,35,7,Tutorials,Medium,No,3.7,Long Video,8,0.09
